"","field_name_full","field_name_short","source"
"118","Market Investment Return (MVA Basis)","market_return_from_valuation","valuation"
"119","Administrative Expenses (Actual, as Percentage of Assets)","admin_expense_pct","valuation"
"120","Are OPEB data reported in the Val Report?","opeb_val","valuation"
"121","Actuarial Value of Assets","ava_from_valuation","valuation"
"122","Actuarial Accrued Liability","aal_from_valuation","valuation"
"123","Unfunded Accrued Liability","ual_from_valuation","valuation"
"124","GASB 25 Funded Ratio","funded_ratio_old_from_valuation","valuation"
"125","Covered Payroll","payroll_from_valuation","valuation"
"126","...63","investment_experience","valuation"
"127","Non-Investment Actuarial Experience","age_of_retirement_experience","valuation"
"128","...65","disability_claim_experience_active","valuation"
"129","...66","disability_claim_experience_inactive","valuation"
"130","...67","disability_claim_experience_retired","valuation"
"131","...68","disability_claim_experience_total","valuation"
"132","...69","mortality_rate_experience_active","valuation"
"133","...70","mortality_rate_experience_inactive","valuation"
"134","...71","mortality_rate_experience_retired","valuation"
"135","...72","mortality_rate_experience_total","valuation"
"136","...73","survivor_claim_experience_active","valuation"
"137","...74","survivor_claim_experience_inactive","valuation"
"138","...75","survivor_claim_experience_retired","valuation"
"139","...76","survivor_claim_experience_total","valuation"
"140","...77","withdrawal_experience","valuation"
"141","...78","salary_experience","valuation"
"142","...79","payroll_experience","valuation"
"143","...80","new_entrant_experience","valuation"
"144","...81","rehire_experiennce","valuation"
"145","...82","other_actuarial_experience","valuation"
"146","...83","interest_smoothing","valuation"
"147","...84","non_investment_actuarial_experience","valuation"
"148","...85","nc_prior_year","valuation"
"149","...86","actuarial_experience","valuation"
"150","...87","benefit_changes","valuation"
"151","...88","cola_gain_loss","valuation"
"152","...89","pbi_gain_loss","valuation"
"153","...90","legislative_changes","valuation"
"154","...91","changes_to_methods_assumptions","valuation"
"155","...92","interest_on_debt","valuation"
"156","...93","other_interest","valuation"
"157","...94","contribution_deficiency","valuation"
"158","Formal Plan Name","full_name","acfr"
"159","Fiscal Year End","fye","acfr"
"160","Are OPEB data reported in the CAFR?","opeb_cafr","acfr"
"161","Actuarially Required Contribution (GASB 25)","arc","acfr"
"162","Total ARC Paid (GASB 25)","arc_paid","acfr"
"163","Total ARC Missed 
(GASB 25)","arc_missed","acfr"
"164","Actuarial Cost Method in Funding Policy, CAFR (EAN, PUC, AGC, FIL)","cost_method_funding","acfr"
"165","Percent of ARC Paid (GASB 25)","arc_pct","acfr"
"166","ADEC (GASB 25)","adec_amt_from_acfr","acfr"
"167","Total ADEC Paid (GASB 25)","adec_paid_amt_from_acfr","acfr"
"168","Total ADEC Missed 
(GASB 25)","adec_missed_from_acfr","acfr"
"169","Percent of ADEC Paid (GASB 25)","adec_pct","acfr"
"170","Actuarial Value of Assets","ava_from_acfr","acfr"
"171","Actuarial Accrued Liability","aal_from_acfr","acfr"
"172","Unfunded Accrued Liability","ual_from_acfr","acfr"
"173","GASB 25 Funded Ratio","funded_ratio_old_from_acfr","acfr"
"174","Covered Payroll","payroll_from_acfr","acfr"
"175","ADEC as a Percent of Payroll","adec_pct_reason","acfr"
"176","ARC as a Percent of Payroll","arcpct_payroll","acfr"
"177","Market Value of Assets","mva","acfr"
"178","Market Value Funded Ratio","funded_ratio_mva","acfr"
"179","Actuarial Investment Return (AVA Basis)","actuarial_return_from_acfr","acfr"
"180","Market Investment Return (MVA Basis)","market_return_from_acfr","acfr"
"181","Total Actuarial Gain/Loss","gain_loss_tot","acfr"
"182","Benefit Payements","outflows_benefits","acfr"
"183","Refunds","outflows_refunds","acfr"
"184","Administrative Expenses","outflows_admin","acfr"
"185","Others","outflows_other","acfr"
"186","Total Outflow (Benefits + Refunds + Admin)","outflows_total","acfr"
