"","full_name","plan_id"
"188","Oklahoma Police Pension and Retirement System","1564"
"189","Oklahoma Public Employees Retirement System","1567"
"190","Teachers' Retirement System of Oklahoma","1565"
"191","Oklahoma Uniform Retirement System for Justices and Judges","1568"
"192","South Carolina Retirement System","1836"
"193","Texas Employees Retirement System","1875"
"194","Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund","4063743"
"195","Texas Teachers Retirement System","1877"
"196","VERMONT MUNICIPAL EMPLOYEES RETIREMENT SYSTEM","1944"
"197","Vermont State Employees' Retirement System","1942"
"198","VERMONT STATE TEACHER'S RETIREMENT SYSTEM","1943"
