"plan_id","plan_name","ppd_id"
70,"Wickenburg Rural Fire District Relief & Pension",NULL
71,"Golden Shores Fire District Relief & Pension",NULL
72,"Golden Valley Fire District Relief & Pension",NULL
73,"Mohave Valley Fire District Relief & Pension",NULL
74,"Yucca Fire District Relief & Pension",NULL
75,"Joseph City Fire District Relief & Pension",NULL
76,"Mountain Vista Fire District Relief & Pension",NULL
77,"Mount Lemmon Fire District Relief & Pension",NULL
78,"Tucson Country Club Estates Fire District Relief & Pension",NULL
79,"Queen Valley Fire District Relief & Pension",NULL
80,"Eloy Fire District Relief & Pension",NULL
81,"Nogales Suburban Fire District Relief & Pension",NULL
82,"Williamson Valley Fire District Relief & Pension",NULL
83,"Peeples Valley Fire District Relief & Pension",NULL
84,"Black Canyon Fire District Relief & Pension",NULL
85,"Crown King Fire District Relief & Pension",NULL
86,"Central Yavapai Fire District Relief & Pension",NULL
87,"Mayer Fire District Relief & Pension",NULL
88,"McMullen Valley Fire District Relief & Pension",NULL
89,"Arkansas Public Employees System",NULL
90,"Arkansas Public Employees Retirement System",7
91,"Arkansas Teachers Retirement Plan",8
92,"Arkansas State Highway Employees Retirement System",NULL
93,"Arkansas State Police Retirement System",NULL
94,"Arkansas Judicial Retirement Plan",NULL
95,"Arkansas Local Police & Fire Retirement System",NULL
96,"Gillett Firemen's Pension and Relief Plan",NULL
97,"Crossett Firemen's Pension and Relief Plan",NULL
98,"Crossett Police Pension and Relief Plan",NULL
99,"Hamburg Firemen's Pension and Relief Plan",NULL
100,"Bentonville Fire Pension and Relief Plan",NULL
101,"Centerton Fire Pension and Relief Plan",NULL
102,"Gentry Firemen's Pension and Relief Plan",NULL
103,"Gravette Firemen's Pension and Relief Plan",NULL
104,"Rodgers Firemens Pension Fund",NULL
105,"Rogers Policemen's Pension and Relief Plan",NULL
106,"Siloam Springs Fire Pension & Relief Plan",NULL
107,"Harrison Firemen's Pension and Relief Plan",NULL
108,"Harrison Police Pension and Relief Plan",NULL
109,"Berryville Fire Pension and Relief Plan",NULL
110,"Green Forest Fire Pension and Relief Plan",NULL
111,"Dermott Firemen's Pension and Relief Plan",NULL
112,"Eudora Firemen's Pension and Relief Plan",NULL
113,"Arkadelphia Fire Pension and Relief Plan",NULL
114,"Piggott Firemen's Pension and Relief Plan",NULL
115,"Rector Firemen's Pension and Relief Plan",NULL
116,"Heber Springs Fire Pension & Relief Plan",NULL
117,"Magnolia Firemen's Pension and Relief Plan",NULL
118,"Magnolia Police Pension and Relief Plan",NULL
119,"Morrilton Fire Pension and Relief Plan",NULL
120,"Jonesboro Police Pension and Relief Fund",NULL
121,"Jonesboro Non-Uniformed Employees Retirement Plan",NULL
122,"Alma Firemen's Pension and Relief Plan",NULL
123,"Mulberry Firemen's Pension and Relief Plan",NULL
124,"Earle Firemen's Pension and Relief Plan",NULL
125,"Marion Firemen's Pension and Relief Plan",NULL
126,"West Memphis Firemens Pension and Relief Fund",NULL
127,"West Memphis Police Pension & Relief Plan",NULL
128,"Sparkman Firemen's Pension and Relief Plan",NULL
129,"Dumas Employees' Pension and Relief Plan",NULL
130,"Dumas Firemen's Pension and Relief Plan",NULL
131,"Monticello Fire Pension and Relief Plan",NULL
132,"Tillar Firemen's Pension and Relief Plan",NULL
133,"Conway Non-Uniformed Pension & Relief Plan",NULL
134,"Retirement Plan The Conway Corporation",NULL
135,"Charleston Fire Pension and Relief Plan",NULL
136,"Ozark Firemen's Pension and Relief Plan",NULL
137,"Mammoth Spring Fire Pension & Relief Plan",NULL
138,"Salem Firemen's Pension and Relief Fund",NULL
139,"Sheridan Firemen's Pension and Relief Plan",NULL
140,"Hope Firemen's Pension and Relief Fund",NULL
141,"Malvern Police Pension Fund",NULL
142,"Malvern Firemens Pension Fund",NULL
143,"Batesville Fire Pension and Relief Plan",NULL
144,"Newport Firemens Pension and Relief Fund",NULL
145,"Newport Police Pension and Relief Plan",NULL
146,"Pine Bluff Firemens Relief and Pension Fund",NULL
147,"Pine Bluff Policemen Relief and Pension Fund",NULL
148,"Pine Bluff City Non-Uniform Employees Retirement Plan",NULL
149,"White Hall Fire Pension and Relief Plan",NULL
150,"Clarksville Fire Pension and Relief Plan",NULL
151,"Stamps Firemen's Pension and Relief Plan",NULL
152,"Gould Firemen's Pension and Relief Fund",NULL
153,"Star Firemen's Pension and Relief Plan",NULL
154,"Ashdown Firemen's Pension and Relief Plan",NULL
155,"Booneville Fire Pension and Relief Plan",NULL
156,"Paris Firemens Pension Fund",NULL
157,"Cabot Firemen's Pension and Relief Plan",NULL
158,"Cabot Policemen's Pension and Relief Plan",NULL
159,"Carlisle Firemen's Pension and Relief Plan",NULL
160,"England Firemen's Pension and Relief Plan",NULL
161,"Lonoke Firemen's Pension and Relief Plan",NULL
162,"Huntsville Fire Pension and Relief Plan",NULL
163,"Texarkana Fire Relief & Pension Fund",NULL
164,"Texarkana Police Relief and Pension Fund",NULL
165,"Texarkana Public Employees Retirement System",NULL
166,"Texarkana Water Utilities Employees' Retirement System",NULL
167,"Blytheville Fire Pension and Relief Plan",NULL
168,"Joiner Firemen's Pension and Relief Plan",NULL
169,"Keiser Firemen's Pension and Relief Plan",NULL
170,"Leachville Fire Pension and Relief Plan",NULL
171,"Manila Firemen's Pension and Relief Plan",NULL
172,"Brinkley Firemen's Pension and Relief Plan",NULL
173,"Clarendon Firemens Pension Fund",NULL
174,"Mount Ida Fire Pension and Relief Plan",NULL
175,"Emmet Firemen's Pension and Relief Plan",NULL
176,"Prescott Firemen's Pension and Relief Plan",NULL
177,"Camden Firemens Pension Fund",NULL
178,"Camden Policemen's Pension and Relief Plan",NULL
179,"Stephens Firemen's Pension and Relief Plan",NULL
180,"Perryville Fire Pension and Relief Plan",NULL
181,"Helena-West Helena Policemens Pension and Relief Fund",NULL
182,"Glenwood Firemen's Pension and Relief Plan",NULL
183,"Lepanto Firemen's Pension and Relief Plan",NULL
184,"Weiner Firemen's Pension and Relief Plan",NULL
185,"Mena Firemens Pension Fund",NULL
186,"Russelville Firemens Pension and Relief Fund",NULL
187,"Russellville Police Pension & Relief Plan",NULL
188,"Des Arc Firemen's Pension and Relief Plan",NULL
189,"Jacksonville Firemens Pension and Relief Fund",NULL
190,"Jacksonville Police Pension & Relief Plan",NULL
191,"Little Rock City Firemen’s Relief and Pension Fund",188
192,"Little Rock City Police Pension and Relief Fund",NULL
193,"Little Rock Nonuniformed Employees Defined Benefit Plan",NULL
194,"North Little Rock Non-Uniformed Employees' Retirement Plan",NULL
195,"North Little Rock Waste Water Utility Defined Benefit Plan",NULL
196,"Sherwood Municipal Employees Ret Plan",NULL
197,"Hughes Firemen's Pension and Relief Fund",NULL
198,"Benton Firemens Pension Fund",NULL
199,"Benton Employees Pension Plan",NULL
200,"Benton Utilities Employees Pension Plan",NULL
201,"Bryant Firemen's Pension and Relief Plan",NULL
202,"Waldron Firemen's Pension and Relief Plan",NULL
203,"Barling Firemen's Pension and Relief Plan",NULL
204,"Fort Smith Fire Pension and Relief Plan",NULL
205,"Fort Smith Police Pension and Relief Plan",NULL
206,"Greenwood Fire Pension and Relief Plan",NULL
207,"De Queen Firemen's Pension and Relief Plan",NULL
208,"Horatio Firemen's Pension and Relief Plan",NULL
209,"Smackover Fire Pension and Relief Plan",NULL
210,"Fayetteville Policemens Retirement System",NULL
211,"Fayetteville Firemens Pension and Relief Fund",NULL
212,"Prairie Grove Fire Pension & Relief Plan",NULL
213,"Springdale Fire Pension and Relief Plan",NULL
214,"Springdale Police Pension and Relief Plan",NULL
215,"Beebe Firemen's Pension and Relief Plan",NULL
216,"Bradford Firemen's Pension and Relief Plan",NULL
217,"Judsonia Firemen's Pension and Relief Plan",NULL
218,"Mcrae Firemen's Pension and Relief Plan",NULL
219,"Dardanelle Fire Pension and Relief Plan",NULL
220,"Ola Firemen's Pension and Relief Plan",NULL
221,"Plainview Fire Pension and Relief Plan",NULL
222,"CalPERS - California Public Employees Retirement Fund",9
223,"CalPERS - California Judges Retirement Fund",NULL
224,"CalPERS - California Legislators Retirement Fund",NULL
225,"CalPERS - California Judges Retirement Fund II",NULL
226,"California State Teachers Retirement System",10
227,"CALSTRS Defined Benefit Supplement Program",NULL
228,"CALSTRS Cash Balance Benefit Program",NULL
229,"CALSTRS Replacement Benefits Program",NULL
230,"University of California Retirement System",111
231,"University Of California Voluntary Retirement Incentive Program",NULL
232,"Alameda County Employee's Retirement Association",137
233,"Contra Costa County Employees' Retirement System",18
234,"Fresno County Employees Retirement Association",NULL
235,"Imperial County Employees Retirement System",NULL
236,"Kern County Employees Retirement Association",138
237,"Los Angeles County Employees Retirement System",43
238,"Marin County Employees' Pension Plan",NULL
239,"Mendocino County Employees Retirement Association",NULL
240,"Merced County Employees Retirement System",NULL
241,"Orange County Employees Retirement System",142
242,"Sacramento County Employees Retirement System",143
243,"San Bernardino County Employees Retirement System",NULL
244,"San Diego County Employees Retirement System",97
245,"San Joaquin County Employees Retirement Association",NULL
246,"San Luis Obispo County Pension Trust Fund",NULL
247,"San Mateo County Employees Retirement Association",NULL
248,"Santa Barbara County Employees Retirement Association",NULL
249,"Sonoma County Employees Retirement System",NULL
250,"Stanislaus County Employees Retirement System",NULL
251,"Tulare County Employees Retirement Association",NULL
252,"Ventura County Employees Retirement Association",NULL
253,"Oakland Police and Fire Retirement System",NULL
254,"Pittsburg Miscellaneous Employees Retirement System 1962",NULL
255,"Fresno City Police Fire Pension Board",NULL
256,"Fresno City Employees Retirement",NULL
257,"City Of Delano Employee Pension Plan",NULL
258,"Los Angeles Water and Power",141
259,"Los Angeles City Employees' Retirement System",139
260,"Los Angeles Fire and Police",140
261,"Manhattan Beach Single High Year Retirement Plan",NULL
262,"Manhattan Beach Supplemental Retirement Plan",NULL
263,"Pasadena Fire-Police Retirement System",NULL
264,"San Clemente Restated Employees Retirement Plan",NULL
265,"Irvine Safety Defined Benefit Pension Plan",NULL
266,"Palm Springs Aerial Tram Restated Pension",NULL
267,"Sacramento City Employees Retirement System",NULL
268,"San Diego City Employees Retirement System",144
269,"San Francisco City & County Employees Retirement System",98
270,"San Jose Police and Fire Department Plan",NULL
271,"San Jose Federated City Employees Retirement System",NULL
272,"East Bay Municipal Utility District Employees Retirement System",NULL
273,"Alameda-Contra Costa Transit District Retirement System",NULL
274,"West Contra Costa Health District Succ. Retirement Plan",NULL
275,"Antelope Valley Medical Center Retirement Plan",NULL
276,"Los Angeles County Metropolitan Transit Authority United Union Retirement Plan",NULL
277,"Los Angeles County Metropolitan Transit Authority AFSCME Pension Fund",NULL
278,"Sunline Transit Bargaining Unit Retirement Plan",NULL
279,"El Camino Hospital District Defined Benefit Plan",NULL
280,"Modesto Irrigation Dist Basic Ret Plan",NULL
281,"Turlock Irrigation District Pension Plan",NULL
282,"Kaweah Delta Hospital District Employees' Retirement Plan",NULL
283,"Norwalk La-Mirada Unified School District Defined Benefit Plan",NULL
284,"Colorado PERA, State Division Fund",15
285,"Colorado PERA, School Division Fund",14
286,"Colorado PERA, Judicial Fund",NULL
287,"Colorado PERA, Local Division Fund",13
288,"Colorado PERA, Denver Public Schools Fund",23
289,"Colorado Fire and Police Pension Association",NULL
290,"Colorado FPPA Statewide Death & Disability Plan",NULL
291,"Colorado FPPA Statewide Defined Benefit Plan",NULL
292,"Colorado FPPA Statewide Hybrid Plan",NULL
293,"Colorado FPPA New Hire Pension Plans",NULL
294,"Adams County Retirement Plan Association",NULL
295,"Arapaho County Retirement Plan",NULL
296,"El Paso County Retirement Plan",NULL
297,"Pueblo County Officers & Employees' Pension",NULL
298,"Weld County Retirement Plan",NULL
299,"Thornton City Fire Pension Plan",NULL
300,"Westminster Firemen Pension Fund",NULL
301,"Englewood City Employees Pension System",NULL
302,"Littleton Police Pension Fund",NULL
303,"Aurora General Employees Retirement Plan",NULL
304,"Aurora Elected Officials & Executives Defined Benefit Plan",NULL
305,"Boulder Firemens Pension Fund",NULL
306,"Longmont City Employees Pension Plan",NULL
307,"Denver Board Of Water Commisioners Retirement Plan Trust Fund",NULL
308,"Denver Employees Retirement System",22
309,"Arvada Defined Benefit Police Pension",NULL
310,"Fort Collins General Employees' Retirement Plan",NULL
311,"Mancos Firemens Retirement System",NULL
312,"Broomfield Employees Pension Plan",NULL
313,"Louisville Firemen Pension Fund",NULL
314,"Lyons Firemen Pension Fund",NULL
315,"Denver Rapid Transit District Salaried Employees Pension Plan",NULL
316,"Arvada Fire Protection District Firemen Pension Fund",NULL
317,"Connecticut Teachers Retirement System",17
318,"Connecticut State Employees Retirement System",16
319,"Connecticut Municipal Employees Retirement Plan",128
320,"Connecticut General Assembly Pension System",NULL
321,"Connecticut Probate Judges and Employees Retirement System",NULL
322,"Connecticut Judicial Retirement System",NULL
323,"Bridgeport Fire Retirement Plan B",NULL
324,"Danbury Pre 1967 Fire Pension Plan",NULL
325,"Norwalk City Employee Pension Fund",NULL
326,"General City Retirement System Fund",NULL
327,"Hartford Municipal Employee Retirement Fund",170
328,"Hartford Police Benefit Fund",NULL
329,"Torrington Police and Fire Pension Fund",NULL
330,"Middletown Employees Pension System",NULL
331,"Ansonia City Employees Retirement Plan",NULL
332,"Meriden Firemen's Pension Plan",NULL
333,"Meriden Police Pension Plan",NULL
334,"Naugatuck Employee Pension Plan",NULL
335,"Waterbury Retirement System",NULL
336,"Milford Retirement System",NULL
337,"City Of Groton Retirement Plan",NULL
338,"City Of New London Contributory Pension Program",NULL
339,"City Of Norwich Employee Retirement Fund",NULL
340,"Fairfield Firemen's and Policemen's Retirement Fund",NULL
341,"Town Of Fairfield Town Employees Ret Plan",NULL
342,"Greenwich Town Retirement System",NULL
343,"Town Of Monroe Retirement Income Plan",NULL
344,"Town Of New Canaan Retirement Plan",NULL
345,"Retirement Plan Of Ridgefield-Fire Plan",NULL
346,"Westport Town Pension Fund",NULL
347,"Town Of Burlington Constables Plan",NULL
348,"Town Of Burlington Employees Pension Plan",NULL
349,"East Hartford Town Retirement System",NULL
350,"Town Of Glastonbury Pension Plan",NULL
351,"Granby Town Pension Plan",NULL
352,"Manchester Retirement Allowance Fund",NULL
353,"Town Of Rocky Hill General Pension Plan",NULL
354,"West Hartford Town Pension Fund",NULL
355,"Town Of Windsor Retirement Plan",NULL
356,"Litchfield Volunteer Fire Supplemental Retirement Plan",NULL
357,"Town Of New Milford Pension Plan",NULL
358,"Town Of Plymouth Board Of Education Pension Plan",NULL
359,"Town Of Watertown-Police Employees",NULL
360,"Town Of Durham Employee Pension Fund",NULL
361,"Town Of Haddam Employee Pension Plan",NULL
362,"Town Of Middlebury Retirement Plan",NULL
363,"North Branford Firefighters Pension Plan",NULL
364,"Wallingford Town Retirement Fund",NULL
365,"Town Of Wolcott Town and Police Plan",NULL
366,"Town Of Coventry Employees Retirement Plan",NULL
367,"Town Of Somers Board Of Education Plan",NULL
368,"Town Of Somers Town Plan",NULL
369,"West Shore Fire District Firemen's Pension Fund",NULL
370,"Delaware State Employees’ Pension Plan",21
371,"Delaware PERS Special Fund",NULL
372,"Delaware State Police Pension Plan",NULL
373,"Delaware State Judiciary Pension Plan",NULL
374,"Delaware County & Municipal Police and Firefighters’ Pension Plans",NULL
375,"Delaware County & Municipal Other Employees’ Pension Plans",195
376,"Delaware Volunteer Firemen’s Fund",NULL
377,"Delaware Diamond State Port Corporate Pension Plan",NULL
378,"Kent County Pension Fund",NULL
379,"New Castle County Pension Program",181
380,"Sussex County Pension Plan",NULL
381,"Dover General Employee Pension Plan",NULL
382,"Smyrna Police Pension Fund",NULL
383,"Smyrna Full Time Employees Pension Fund",NULL
384,"Newark City Amended Pension Plan",NULL
385,"Wilmington Firemens Pension Fund",NULL
386,"Wilmington Police Pension Fund",NULL
387,"Wilmington Nonuniformed Employees Plan I",NULL
388,"Wilmington Nonuniformed Employees Plan III",NULL
389,"Wilmington Parking Authority Pension Plan",NULL
390,"District of Columbia Police Officers and Firefighters Retirement Fund",19
391,"District of Columbia Teachers Retirement Fund",20
392,"WMATA Retirement Plan",NULL
393,"WMATA Transit Police Retirement Plan",NULL
394,"WMATA Transit Employees Retirement Plan",NULL
395,"WMATA Local 922 Retirement Plan",NULL
396,"WMATA Local 2 Retirement Plan",NULL
397,"Florida Retirement System",26
398,"Monroe County Volunteer Firefighters & EMS Fire Retirement Fund",NULL
399,"Orange County Library District General Retirement",NULL
400,"Palm Tran Inc-Atu General Retirement Fund",NULL
401,"Gainesville Police & Fire Pension Fund",NULL
402,"Cocoa General Pension Plan",NULL
403,"Melbourne General Pension Plan",NULL
404,"Melbourne Police Retirement Fund",NULL
405,"Palm Bay Elected Appointed & Nonrep Pension",NULL
406,"Satellite Beach Police and Fire Retirement Fund",NULL
407,"Fort Lauderdale Policemen and Firemens Retirement System",NULL
408,"Hollywood Firemens Pension Fund",NULL
409,"Pembroke Pines Police and Fire Retirement Fund",NULL
410,"Davie Police Retirement Fund",NULL
411,"Coral Springs General Pension Plan",NULL
412,"Tamarac General Retirement Fund",NULL
413,"Tamarac Executive General Pension Plan",NULL
414,"Punta Gorda Firefighters Retirement Fund",NULL
415,"Naples General Retirement Fund",NULL
416,"Florida City Police Pension Plan",NULL
417,"Hialeah City Employees Retirement System",NULL
418,"Homestead Police Officers Retirement Fund",NULL
419,"Homestead General Retirement Fund",NULL
420,"City of Miami Firefighters and Police Officers Retirement Trust",168
421,"Miami City General and Sanitation Employee Retirement Trust",NULL
422,"Miami Cola Retired P&F Pension Plan",NULL
423,"Jacksonville General Employee Pension Plan",159
424,"Jacksonville City Fire and Police Pension Act 1937",212
425,"Jacksonville Corrections Officers Pension",NULL
426,"Pensacola Firemens Relief Pension Fund",NULL
427,"Brooksville Firemens Retirement Fund",NULL
428,"Tampa City Firemen and Policemen Pension Fund",NULL
429,"Sebastian Police Retirement Fund",NULL
430,"Fort Myers Police Retirement Fund",NULL
431,"Cape Coral General Retirement Fund",NULL
432,"Tallahassee General Retirement Fund",NULL
433,"Ocala City Retirement Fund",NULL
434,"Marathon Fire Pension Plan",NULL
435,"Shalimar Police Pension Plan",NULL
436,"Maitland Municipal Police and Fire Retirement System",NULL
437,"Orlando General Pension Plan",NULL
438,"Boca Raton City General Employees Pension Plan",NULL
439,"Boynton Beach Employees Pension Fund",NULL
440,"Lake Park Retired Police Pension Plan",NULL
441,"Palm Beach [GPFLG] General Retirement System",NULL
442,"West Palm Beach Firefighters Pension Fund",NULL
443,"Palm Beach Gardens Fire Retirement Fund",NULL
444,"New Port Richey Police Retirement System",NULL
445,"Clearwater Employees Pension Fund",NULL
446,"St Pete Beach General Pension Plan",NULL
447,"Auburndale Police Pension Fund",NULL
448,"Lake Alfred General Retirement Fund",NULL
449,"Lakeland Employees Pension and Retirement System",NULL
450,"Fort Pierce Police Retirement Fund",NULL
451,"Sarasota Firemens Retirement System",NULL
452,"Live Oak Fire Pension Plan",NULL
453,"Daytona Beach Police and Fire Department Pension Fund",NULL
454,"North Broward Hospital District General Retirement",NULL
455,"South Broward Hospital District General Retirement",NULL
456,"Key West Utility District General Retirement Fund",NULL
457,"East Niceville Fcd Fire Pension Plan",NULL
458,"Amalgamated Transit Union Local 1596 Pension Plan",NULL
459,"Englewood Water District General Pension Plan",NULL
460,"Alachua County School District Early Retirement Plan",NULL
461,"Miami-Dade County School District Early Retirement Fund",NULL
462,"Monroe County School District Early Retirement Plan",NULL
463,"Georgia Employees’ Retirement System",27
464,"Georgia Firefighter's Pension Fund",NULL
465,"Georgia District Attorneys Retirement Fund (Old)",NULL
466,"Georgia Teachers Retirement System",28
467,"Georgia Peace Officers Annuity Benefit Fund",NULL
468,"Georgia Superior Court Clerks Retirement Fund",NULL
469,"Georgia Sheriffs Retirement Fund",NULL
470,"Georgia Probate Court Judges Retirement Fund",NULL
471,"Georgia Public School Employees Retirement System",NULL
472,"Georgia Judicial Retirement System",NULL
473,"Georgia Municipal Employees' Benefit System",NULL
474,"Burke County Employees Retirement System",NULL
475,"Chatham County Employees Retirement Plan",NULL
476,"Clayton County Public Employees Retirement System",NULL
477,"Cobb County Government Employees' Pension Plan",NULL
478,"Dekalb County Retirement Plan",NULL
479,"Dougherty County Retirement Plan",NULL
480,"Fulton County Employees Retirement System",NULL
481,"Glynn County Defined Benefit Pension Plan",NULL
482,"Gwinnett County Public Employees Retirement System",NULL
483,"Macon Firemen and Police Pension Fund",NULL
484,"Macon General Employees Pension System",NULL
485,"Bibb County Employees Retirement System",NULL
486,"Athens-Clark County Employees Pension Plan",NULL
487,"City Of Alpharetta Combined Pension Plan",NULL
488,"Atlanta Police Fund",173
489,"Atlanta Fire Fund",205
490,"Atlanta General Employees Pension Fund",161
491,"East Point City Retirement Plan",NULL
492,"Columbus Employees Retirement System",NULL
493,"Augusta City Employees Pension 1945-1949",NULL
494,"Augusta City Police Pension Plan",NULL
495,"Dalton City Retirement Plan",NULL
496,"Macon Water Authority Pension Fund",NULL
497,"Metro Atlanta Rapid Transit Authority Union Plan",NULL
498,"Metro Atlanta Rapid Transit Authority Non-Rep Pension Plan",NULL
499,"Fulton County School Pension Board",NULL
500,"Employee Retirement System of Hawaii",29
501,"Idaho Firefighters’ Retirement Fund",NULL
502,"Idaho Public Employee Retirement System",31
503,"Idaho Judicial Retirement Fund",NULL
504,"Pocatello Police Retirement Pension Plan",NULL
505,"Coeur D'Alene Police Retirement Fund",NULL
506,"Lewiston Police Department Retirement System",NULL
507,"Illinois State Employees Retirement System",33
508,"Illinois General Assembly Retirement System",NULL
509,"Illinois Judges Retirement System",NULL
510,"Illinois Teachers Retirement System",34
511,"Illinois State University Retirement System",35
512,"Illinois Municipal Employees Retirement System",32
513,"Cook County Employees Retirement System",147
514,"Cook County Employee Annuity Benefit Fund Forest Preserve District",NULL
515,"Arlington Heights Policemens Pension Fund",NULL
516,"Broadview Firefighters Pension Fund",NULL
517,"Chicago Fireman's Annuity Benefit Fund",206
518,"Chicago Municipal Employees Retirement System",145
519,"Chicago Laborers Retirement Board Employees Annuity Benefit Fund",215
520,"Chicago Police Retirement System",146
521,"Des Plaines Policemens Pension Fund",NULL
522,"Evergreen Park Policemen Pension Fund",NULL
523,"Forest Park Firemens Pension Fund",NULL
524,"Glenview Policemen Pension Fund",NULL
525,"Homewood Policemen Pension Fund",NULL
526,"Midlothian Firefighters Pension Fund",NULL
527,"Mount Prospect Policemen Pension Fund",NULL
528,"Olympia Fields Police Pension Fund",NULL
529,"Tinley Park Police Pension System",NULL
530,"Elk Grove Village Firemen Pension Fund",NULL
531,"Streamwood Police Pension Fund",NULL
532,"Schaumburg Police Pension Fund",NULL
533,"Schaumburg Firemens Pension Fund",NULL
534,"Palos Hills Police Pension Fund",NULL
535,"Hoffman Estates Firefighters Pension Fund",NULL
536,"Genoa Police Pension Fund",NULL
537,"Addison Firefighters Pension Fund",NULL
538,"Bloomingdale Police Pension Fund",NULL
539,"Lombard Policemens Pension Fund",NULL
540,"Naperville Policemens Pension Fund",NULL
541,"Naperville Firemens Pension Fund",NULL
542,"Aurora Policemens Pension Fund",NULL
543,"Aurora Firemens Pension Fund",NULL
544,"East Dundee Police Pension Fund",NULL
545,"Sugar Grove Police Pension Fund",NULL
546,"Gurnee Police Pension Fund",NULL
547,"Libertyville Police Pension Fund",NULL
548,"Roundlake Beach Policemens Pension Board",NULL
549,"Lincolnshire Police Pension Fund",NULL
550,"Oglesby Police Pension Fund",NULL
551,"Macomb Police Pension Fund",NULL
552,"Crystal Lake Policemens Pension Fund",NULL
553,"Normal Firemens Pension Fund",NULL
554,"Wood River Police Pension Fund",NULL
555,"Peoria Police Pension Fund",NULL
556,"Peoria Firemens Pension Fund",NULL
557,"Springfield Police Pension Fund",NULL
558,"Springfield Firefighter's Pension Fund",NULL
559,"Freeport Firefighters Pension Fund",NULL
560,"Joliet Police Pension Fund",NULL
561,"Joliet Firefighters Pension Fund ",NULL
562,"Rockford Police Pension Fund",NULL
563,"Rockford Firefighters Pension Fund ",NULL
564,"Park Employees' & Retirement Board Employees' Annuity and Benefit Fund",NULL
565,"Metro Water Reclamation District Retirement Fund",NULL
566,"Chicago Transit Authority Employee Retirement Plan",NULL
567,"Leyden Fire Protection District Firefighters Pension Fund",NULL
568,"Metropolitan Pier & Exposition Authority Defined Benefit Plan",NULL
569,"Roberts Park Fire Protection District Firefighters Pension Fund ",NULL
570,"Orland Park Police Pension Fund",NULL
