Table Name,Variable Name,Variable Label,Format/Unit of measure,Code
PensionActuarialCosts,NormCostAmount_tot,,$000s,
PensionActuarialCosts,NormCostRate_EE,Member Normal Cost,Percentage point,
PensionActuarialCosts,NormCostRate_EE_est,,"0,1","Estimated (1), Not estimated (0)"
PensionActuarialCosts,NormCostRate_ER,Employer Normal Cost,Percentage point,
PensionActuarialCosts,NormCostRate_ER_est,,"0,1","Estimated (1), Not estimated (0)"
PensionActuarialCosts,NormCostRate_tot,Total Normal Cost,Percentage point,
PensionActuarialCosts,NormCostRate_tot_est,,"0,1","Estimated (1), Not estimated (0)"
PensionActuarialCosts,notes_ActCosts,,text,
PensionActuarialCosts,PlanName,Plan name,text,
PensionActuarialCosts,ppd_id,,0000-9999,
PensionActuarialCosts,ProjectedPayroll,,$000s,
PensionActuarialCosts,ReqContAmount_ER,,$000s,
PensionActuarialCosts,ReqContAmount_ER_Stat,Employer's statutory contribution amount,$000s,
PensionActuarialCosts,ReqContAmount_tot,,$000s,
PensionActuarialCosts,ReqContAmount_tot_Stat,Total projected statutory contribution amount,$000s,
PensionActuarialCosts,ReqContRate_ER,Employer's projected actuarial contribution rate,Percentage point,
PensionActuarialCosts,ReqContRate_ER_est,,"0,1","Estimated (1), Not estimated (0)"
PensionActuarialCosts,ReqContRate_ER_Stat,Employer's statutory contribution rate,Percentage point,
PensionActuarialCosts,ReqContRate_tot,Total projected actuarial contribution rate,Percentage point,
PensionActuarialCosts,ReqContRate_tot_Stat,Total projected statutory contribution rate,Percentage point,
PensionActuarialCosts,source_ActCosts,,text,
PensionActuarialCosts,TierID,,00-99,
PensionActuarialCosts,UAALRate,UAAL amortization rate,Percentage point,
PensionMembership,ActiveAge_avg,,integer,
PensionMembership,ActiveSalaries,,$000s,
PensionMembership,ActiveSalary_avg,Average Salary,$000s,
PensionMembership,ActiveSalary_avg_est,Estimated Average Salary,"0,1","Estimated (1), Not estimated (0)"
PensionMembership,actives_tot,Actives,integer,
PensionMembership,ActiveTenure_avg,,integer,
PensionMembership,beneficiaries_DependentSurvivors,,integer,
PensionMembership,beneficiaries_DisabilityRetirees,,integer,
PensionMembership,beneficiaries_other,,integer,
PensionMembership,beneficiaries_ServiceRetirees,,integer,
PensionMembership,beneficiaries_SpousalSurvivors,,integer,
PensionMembership,beneficiaries_survivors,,integer,
PensionMembership,beneficiaries_tot,Beneficiaries,integer,
PensionMembership,BeneficiaryAge_avg,,integer,
PensionMembership,BeneficiaryBenefit_avg,Average Benefit,$000s,
PensionMembership,BeneficiaryBenefit_avg_est,Estimated Average Benefit,"0,1","Estimated (1), Not estimated (0)"
PensionMembership,benefits_DisabilityRetirees,,$000s,
PensionMembership,benefits_ServiceRetirees,,$000s,
PensionMembership,benefits_tot,,$000s,
PensionMembership,DROPMembers,,integer,
PensionMembership,EEGroupID,EEGroupID,00-99,
PensionMembership,fy,Fiscal year,yyyy,
PensionMembership,InactiveNonVested,,integer,
PensionMembership,InactiveVestedMembers,,integer,
PensionMembership,notes_membership,,text,
PensionMembership,OtherMembers,,integer,
PensionMembership,PlanName,Plan name,text,
PensionMembership,ppd_id,,0000-9999,
PensionMembership,ServiceRetAge_avg,,integer,
PensionMembership,ServiceRetireeAge_avg,,integer,
PensionMembership,ServiceRetireeBenefit_avg,,$000s,
PensionMembership,ServiceRetTenure_avg,,integer,
PensionMembership,source_membership,,text,
PensionMembership,TierID,,00-99,
PensionMembership,TotMembership,Total Membership,integer,
PensionReportingDates,ActRptDate,Actuarial Valuation Date,mm/dd/yyyy,
PensionReportingDates,EEGroupID,EEGroupID,00-99,
PensionReportingDates,fy,Fiscal year,yyyy,
PensionReportingDates,fye,Fiscal Year End,mm/dd/yyyy,
PensionReportingDates,PlanName,Plan name,text,
PensionReportingDates,ppd_id,,0000-9999,
PensionReportingDates,TierID,,00-99,
PensionEEGroupBasics,EEGroupClosed,,"0,1","yes (1), no (0)"
PensionEEGroupBasics,EEGroupCostSharing,EE Group- Cost Sharing,"0,1,2","0-Agency, 1-Cost Sharing, 2-Risk Pools"
PensionEEGroupBasics,EEGroupCostStructure,EE Group- Cost Structure,text,
PensionEEGroupBasics,EEGroupEmployerType,EE Group- Employer Type,"1,2,3","1=single, 2=multiple, 3=multi"
PensionEEGroupBasics,EEGroupID,EEGroupID,00-99,
PensionEEGroupBasics,EEGroupInceptionYear,,yyyy,
PensionEEGroupBasics,EEGroupName,,00-99,
PensionEEGroupBasics,EEGroupSocSecCovered,EE Group- Soc. Sec. Coverage,"0,1","yes (1), no (0)"
PensionEEGroupBasics,EEGroupType,,,
PensionEEGroupBasics,EEGroupTypesCovered,,,
PensionEEGroupBasics,EEGroupYearClosed,,yyyy,
PensionEEGroupBasics,EEStateorLocalEmployeesOnly,,"1,2","1=State employees only, 2=Local employees only"
PensionEEGroupBasics,notes_EEGroupBasics,,text,
PensionEEGroupBasics,PlanName,Plan name,text,
PensionEEGroupBasics,ppd_id,,0000-9999,
PensionEEGroupBasics,source_EEGroupBasics,,text,
PensionEEGroupBasics,urbanflag,urbanflag,0-1,"yes (1), no (0)"
PensionPlanBasics,AdministeringGovt,Administering Govt Level,"0,1,2,5","0-State, 1-County, 2-City, 5- School"
PensionPlanBasics,BenefitsWebsite,,text,
PensionPlanBasics,CostSharing,Cost Sharing,"0,1,2","0-Agency, 1-Cost Sharing, 2-Risk Pools"
PensionPlanBasics,CostStructure,Cost Structure,text,
PensionPlanBasics,DataEndYear,,,
PensionPlanBasics,DataStartYear,,,
PensionPlanBasics,EmployeeTypeCovered,,text,
PensionPlanBasics,EmployerType,Employer Type,"1,2,3","1=single, 2=multiple, 3=multi"
PensionPlanBasics,FiscalYearType,,2-Jan,"1=mid-year, 2=year-end"
PensionPlanBasics,GovtName,Jurisdiction,text,
PensionPlanBasics,InPFS,,0-1,"yes (1), no (0)"
PensionPlanBasics,notes_PlanBasics,,text,
PensionPlanBasics,PlanClosed,Plan Closed,"0,1",
PensionPlanBasics,PlanFullName,,,
PensionPlanBasics,PlanInceptionYear,Inception Year,yyyy,
PensionPlanBasics,PlanName,Plan name,text,
PensionPlanBasics,PlanType,Plan Type,"1,2,3,4,5","1-PERS or ERS, 2-TRS, 3-Police/Fire/Safety, 4-SERS, 5-Local"
PensionPlanBasics,PlanYearClosed,Year plan closed,yyyy,
PensionPlanBasics,ppd_directory_listed,ppd_directory_listed,0-1,"yes (1), no (0)"
PensionPlanBasics,ppd_id,,0000-9999,
PensionPlanBasics,SocSecCovered,Soc. Sec. Coverage,"0,1","yes (1), no (0)"
PensionPlanBasics,SocSecCovered_verbatim,,text,
PensionPlanBasics,source_PlanBasics,,text,
PensionPlanBasics,StateAbbrev,State,text,
PensionPlanBasics,StateName,,text,
PensionPlanBasics,system_id,,0000-9999,
PensionRetirementSystemBasics,NumberOfPlans,,00-99,
PensionRetirementSystemBasics,ppd_system_directory_listed,ppd_system_directory_listed,0-1,"yes (1), no (0)"
PensionRetirementSystemBasics,RetirementSystemDesc,,text,
PensionRetirementSystemBasics,RetirementSystemName,System Name,text,
PensionRetirementSystemBasics,RetirementSystemStateAbbrev,State Abbreviation,text,
PensionRetirementSystemBasics,system_id,,0000-9999,
PensionRetirementSystemBasics,sys_DataEndYear,,integer,
PensionRetirementSystemBasics,sys_DataStartYear,,integer,
PensionActuarialBalanceSheet,AccruedLiab_active,Accrued Liability for Actives,$000s,
PensionActuarialBalanceSheet,ActAssets_BalSht,Actuarial Assets from the Balance Sheet,$000s,
PensionActuarialBalanceSheet,fy,Fiscal year,yyyy,
PensionActuarialBalanceSheet,PVFB_active,PVFB for Actives,$000s,
PensionActuarialBalanceSheet,PVFB_InactiveNonVested,PVFB for Inactive Non-vested,$000s,
PensionActuarialBalanceSheet,PVFB_InactiveVested,PVFB for Inactive Vested,$000s,
PensionActuarialBalanceSheet,PVFB_other,PVFB from Other Sources,$000s,
PensionActuarialBalanceSheet,PVFB_retiree,PVFB for Retirees,$000s,
PensionActuarialBalanceSheet,PVFB_tot,Total PVFB,$000s,
PensionActuarialBalanceSheet,PVFC_EE,PV of Future EE Contributions,$000s,
PensionActuarialBalanceSheet,PVFC_ER,PV of Future ER Contributions,$000s,
PensionActuarialBalanceSheet,PVFC_tot,PV of Future Contributions,$000s,
PensionActuarialBalanceSheet,PVFNC_ER,PV of Future ER Normal Cost,$000s,
PensionActuarialBalanceSheet,PVFNC_tot,PV of Future Normal Cost,$000s,
PensionActuarialBalanceSheet,PVFS,PV of Future Salaries,$000s,
PensionSystemData,fy,Fiscal year,yyyy,
PensionSystemData,system_id,,0000-9999,
PensionSystemData,sys_actives_tot,Actives,integer,
PensionSystemData,sys_adjustment_MktAssets,Market Value Adjustment,$000s,
PensionSystemData,sys_Beneficiaries_other,,integer,
PensionSystemData,sys_Beneficiaries_survivors,,integer,
PensionSystemData,sys_beneficiaries_tot,Beneficiaries,integer,
PensionSystemData,sys_contrib_EE_other,Other Employee Contributions,$000s,
PensionSystemData,sys_contrib_EE_PurchaseService,Purchase of Service,$000s,
PensionSystemData,sys_contrib_EE_regular,Member Contributions,$000s,
PensionSystemData,sys_contrib_ER_other,Other Employer Contributions,$000s,
PensionSystemData,sys_contrib_ER_regular,Employer Contributions,$000s,
PensionSystemData,sys_contrib_ER_state,State Contributions,$000s,
PensionSystemData,sys_contrib_other,Other Contributions,$000s,
PensionSystemData,sys_contrib_tot,Total Contributions,$000s,
PensionSystemData,sys_DROPMembers,,integer,
PensionSystemData,sys_expense_AdminExpenses,Admin. Expenses,$000s,
PensionSystemData,sys_expense_alternatives,Alternatives Expense,$000s,
PensionSystemData,sys_expense_COLABenefits,Total COLA Benefits,$000s,
PensionSystemData,sys_expense_DeathBenefits,Total Death Benefits,$000s,
PensionSystemData,sys_expense_Depreciation,Depreciation,$000s,
PensionSystemData,sys_expense_DisabilityBenefits,Total Disability Benefits,$000s,
PensionSystemData,sys_expense_DROPBenefits,Total DROP Benefits,$000s,
PensionSystemData,sys_expense_investments,General Inv. Expense,$000s,
PensionSystemData,sys_expense_LumpSumBenefits,Total Lump Sum Benefits,$000s,
PensionSystemData,sys_expense_net,Total Deductions,$000s,
PensionSystemData,sys_expense_OtherBenefits,Other Benefits,$000s,
PensionSystemData,sys_expense_OtherDeductions,Other Deductions,$000s,
PensionSystemData,sys_expense_OtherInvestments,Other Inv. Expense,$000s,
PensionSystemData,sys_expense_PrivateEquity,Priv. Eq. Expense,$000s,
PensionSystemData,sys_expense_RealEstate,Real Estate Expense,$000s,
PensionSystemData,sys_expense_refunds,Refunds/Withdrawals,$000s,
PensionSystemData,sys_expense_RetBenefits,Total Retirement Benefits,$000s,
PensionSystemData,sys_expense_SecuritiesLending,Securities Lending Expenses,$000s,
PensionSystemData,sys_expense_SurvivorBenefits,Total Survivor Benefits,$000s,
PensionSystemData,sys_expense_TotBenefits,Total Benefits,$000s,
PensionSystemData,sys_FairValueChange_investments,Net Increase/(Decrease) in Fair Value of Investments,$000s,
PensionSystemData,sys_FairValueChange_RealEstate,Net Increase/(Decrease) in Fair Value of Real Estate Investments,$000s,
PensionSystemData,sys_InactiveNonVested,,integer,
PensionSystemData,sys_InactiveVestedMembers,,integer,
PensionSystemData,sys_income_alternatives,Alternatives Income,$000s,
PensionSystemData,sys_income_dividends,Dividend Income,$000s,
PensionSystemData,sys_income_interest,Interest Income,$000s,
PensionSystemData,sys_income_InterestAndDividends,Interest and Dividends,$000s,
PensionSystemData,sys_income_international,International Income,$000s,
PensionSystemData,sys_income_net,Total Additions,$000s,
PensionSystemData,sys_income_OtherAdditions,Other Additions,$000s,
PensionSystemData,sys_income_OtherInvestments,Other Inv. Income,$000s,
PensionSystemData,sys_income_PrivateEquity,Priv. Eq. Income,$000s,
PensionSystemData,sys_income_RealEstate,Real Estate Income,$000s,
PensionSystemData,sys_income_SecuritiesLending,Securities Lending Interest Income,$000s,
PensionSystemData,sys_MktAssets_net,Net Assets,$000s,
PensionSystemData,sys_NumberofEmployers,Number of Employers,integer,
PensionSystemData,sys_OtherMembers,,integer,
PensionSystemData,sys_SecLendRebate,Securities Lending Rebates,$000s,
PensionSystemData,sys_ServiceRetirees,,integer,
PensionSystemData,sys_SpousalSurvivors,,integer,
PensionSystemData,sys_TotMembership,Total Membership,integer,
PensionInvestmentPerformance,AltMiscTotal_Actl,% in Misc. Alternatives,Percentage point,
PensionInvestmentPerformance,AltMiscTotal_Rtrn,Misc. Alternatives - Return,Percentage point,
PensionInvestmentPerformance,AltMiscTotal_Trgt,Target % in Misc. Alternatives,Percentage point,
PensionInvestmentPerformance,CashTotal_Actl,% in Cash,Percentage point,
PensionInvestmentPerformance,CashTotal_Rtrn,Cash - Return,Percentage point,
PensionInvestmentPerformance,CashTotal_Trgt,Target % in Cash,Percentage point,
PensionInvestmentPerformance,COMDTotal_Actl,% in Commodities,Percentage point,
PensionInvestmentPerformance,COMDTotal_Rtrn,Commodities - Return,Percentage point,
PensionInvestmentPerformance,COMDTotal_Trgt,Target % in Commodities,Percentage point,
PensionInvestmentPerformance,EEGroupID,EEGroupID,00-99,
PensionInvestmentPerformance,EQTotal_Actl,% in Equities (Total),Percentage point,
PensionInvestmentPerformance,EQTotal_Rtrn,Total Equity - Return,Percentage point,
PensionInvestmentPerformance,EQTotal_Trgt,Target % in Equities (Total),Percentage point,
PensionInvestmentPerformance,FITotal_Actl,% in Fixed Income,Percentage point,
PensionInvestmentPerformance,FITotal_Rtrn,Fixed Income - Return,Percentage point,
PensionInvestmentPerformance,FITotal_Trgt,Target % in Fixed Income,Percentage point,
PensionInvestmentPerformance,fy,Fiscal year,yyyy,
PensionInvestmentPerformance,HFTotal_Actl,% in Hedge Funds,Percentage point,
PensionInvestmentPerformance,HFTotal_Rtrn,Hedge Funds - Return,Percentage point,
PensionInvestmentPerformance,HFTotal_Trgt,Target % in Hedge Funds,Percentage point,
PensionInvestmentPerformance,Leverage_Flag,Leverage Flag,0-1,"Leverage (1), No Leverage (0)"
PensionInvestmentPerformance,Leverage_Total_Actl,Actual Leverage Percent,Percentage point,
PensionInvestmentPerformance,Leverage_Total_Trgt,Target Leverage Percent,Percentage point,
PensionInvestmentPerformance,OtherTotal_Actl,% in Other Assets,Percentage point,
PensionInvestmentPerformance,OtherTotal_Rtrn,Other - Return,Percentage point,
PensionInvestmentPerformance,OtherTotal_Trgt,Target % in Other Assets,Percentage point,
PensionInvestmentPerformance,PETotal_Actl,% in Private Equity,Percentage point,
PensionInvestmentPerformance,PETotal_Rtrn,Private Equity - Return,Percentage point,
PensionInvestmentPerformance,PETotal_Trgt,Target % in Private Equity,Percentage point,
PensionInvestmentPerformance,PlanName,Plan name,text,
PensionInvestmentPerformance,ppd_id,,0000-9999,
PensionInvestmentPerformance,RETotal_Actl,% in Real Estate,Percentage point,
PensionInvestmentPerformance,RETotal_Rtrn,Real Estate - Return,Percentage point,
PensionInvestmentPerformance,RETotal_Trgt,Target % in Real Estate,Percentage point,
PensionInvestmentPerformance,TierID,,00-99,
PensionInvestmentPerformance,TotFund_BnchmrkRtrn,Total Fund Benchmark Return,$000s,
PensionInterestRateRisk,Duration_describe,Duration method,text,
PensionInterestRateRisk,Duration_Type,Duration method code,0-4,"Effective (1), Modified (2), Macaulay (3), Other (4)"
PensionInterestRateRisk,EEGroupID,EEGroupID,00-99,
PensionInterestRateRisk,fy,Fiscal year,yyyy,
PensionInterestRateRisk,HasDurationData,Has duration data,0-1,"yes (1), no (0)"
PensionInterestRateRisk,ppd_id,,0000-9999,
PensionInterestRateRisk,TierID,,00-99,
PensionInterestRateRisk,Total_Duration,Total duration,Percentage point,
PensionInterestRateRisk,Total_MktVal_Duration,Duration assets,$000s,
